,actualEncoding,allowGrammarAccess,changes,docElement,docType,documentNumber,domNormalizer,encoding,errorChecking,fConfiguration,fDocumentURI,fFreeNLCache,fXPathEvaluator,identifiers,kidOK,method_name,nodeCounter,nodeTable,standalone,userData,version,xml11Version,xmlVersionChanged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,getOwnerDocument,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,getNodeType,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,getNodeName,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,cloneNode,0,0,0,0,0,0,0
4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,insertBefore,0,0,0,0,0,0,0
5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,removeChild,0,0,0,0,0,0,0
6,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,replaceChild,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,getTextContent,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,setTextContent,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,getFeature,0,0,0,0,1,0,0
10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,createAttribute,0,0,0,0,0,1,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,createCDATASection,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,createComment,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,createDocumentFragment,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,createElement,0,0,0,0,0,1,0
15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,createEntityReference,0,0,0,0,0,1,0
16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,createProcessingInstruction,0,0,0,0,0,1,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,createTextNode,0,0,0,0,0,0,0
18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,getDoctype,0,0,0,0,0,0,0
19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,getDocumentElement,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,getElementsByTagName,0,0,0,0,0,0,0
