,ALLOW_JAVA_ENCODINGS,ATTRIBUTEGROUP_TYPE,ATTRIBUTE_TYPE,CIRCULAR_CODES,COMP_TYPE,CONTINUE_AFTER_FATAL_ERROR,DEBUG_NODE_POOL,DISALLOW_DOCTYPE,ELEMENT_TYPE,ELE_ERROR_CODES,EMPTY_TABLE,ENTITY_MANAGER,ENTITY_RESOLVER,ERROR_HANDLER,ERROR_REPORTER,GENERATE_SYNTHETIC_ANNOTATIONS,GROUP_TYPE,HONOUR_ALL_SCHEMALOCATIONS,IDENTITYCONSTRAINT_TYPE,INC_KEYREF_STACK_AMOUNT,INC_STACK_SIZE,LOCALE,NAMESPACE_GROWTH,NAMESPACE_PREFIXES,NOTATION_TYPE,NS_ERROR_CODES,REDEF_IDENTIFIER,SECURITY_MANAGER,STANDARD_URI_CONFORMANT_FEATURE,STRING_INTERNING,SYMBOL_TABLE,TOLERATE_DUPLICATES,TYPEDECL_TYPE,VALIDATE_ANNOTATIONS,VALIDATION,XMLGRAMMAR_POOL,XMLSCHEMA_VALIDATION,fAllContext,fAnnotationValidator,fAttributeChecker,fAttributeGroupTraverser,fAttributeTraverser,fComplexTypeTraverser,fDVFactory,fDeclPool,fElementTraverser,fEntityResolver,fErrorReporter,fGrammarBucket,fGrammarBucketAdapter,fGrammarPool,fGroupTraverser,fHiddenNodes,fHonourAllSchemaLocations,fKeyrefElems,fKeyrefNamespaceContext,fKeyrefStackPos,fKeyrefTraverser,fKeyrefs,fKeyrefsMapXSDocumentInfo,fLastSchemaWasDuplicate,fLocalElemNamespaceContext,fLocalElemStackPos,fLocalElementDecl,fLocalElementDecl_schema,fLocationPairs,fNamespaceGrowth,fNotationTraverser,fParent,fParticle,fReportedTNS,fRoot,fSchemaGrammarDescription,fSchemaParser,fSimpleTypeTraverser,fStAXSchemaParser,fSymbolTable,fTolerateDuplicates,fUniqueOrKeyTraverser,fUnparsedAttributeGroupRegistry,fUnparsedAttributeGroupRegistrySub,fUnparsedAttributeRegistry,fUnparsedAttributeRegistrySub,fUnparsedElementRegistry,fUnparsedElementRegistrySub,fUnparsedGroupRegistry,fUnparsedGroupRegistrySub,fUnparsedIdentityConstraintRegistry,fUnparsedIdentityConstraintRegistrySub,fUnparsedNotationRegistry,fUnparsedNotationRegistrySub,fUnparsedRegistriesExt,fUnparsedTypeRegistry,fUnparsedTypeRegistrySub,fValidateAnnotations,fWildCardTraverser,fXSContentHandler,method_name,xl
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null2EmptyString,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,emptyString2Null,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,doc2SystemId,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,parseSchema,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,validateAnnotations,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,createAnnotationValidator,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,getGrammar,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,findGrammar,0
8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,constructTrees,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,isExistingGrammar,0
