,method_name,cache,content,create,encoding,error,global,identifier,none,object,parameter,standalone,subset,uri,user
0,abort,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,addEventListener,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,adoptNode,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,canRenameElements,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,changed,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,changes,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,checkDOMNSErr,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,checkNamespaceWF,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,checkQName,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,clone,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,cloneNode,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,copyEventListeners,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,deletedText,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,dispatchEvent,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,getAsync,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,getDoctype,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,getDocumentElement,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,getDomConfig,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,getElementById,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,getElementsByTagName,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,getElementsByTagNameNS,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,getFeature,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,getImplementation,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,getMutationEvents,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,getNodeName,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,getNodeNumber,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,getNodeType,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,getOwnerDocument,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,getVersion,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,getXmlVersion,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,importNode,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,insertBefore,0,0,0,0,0,0,0,1,0,0,0,0,0,0
