,method_name,cache,content,create,encoding,error,global,identifier,none,object,parameter,standalone,subset,uri,user
0,addContentSpecNode,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,addContentSpecToElement,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,appendContentSpec,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,contentSpecTree,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,endContentModel,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,ensureContentSpecCapacity,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,getContentSpec,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,getContentSpecAsString,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,getContentSpecIndex,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,getContentSpecType,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,getDTDContentModelSource,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,getElementContentModelValidator,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,initializeContentModelStack,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,setContentSpec,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,setContentSpecIndex,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,setDTDContentModelSource,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,startContentModel,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,addUniqueLeafNode,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,any,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,attributeDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,buildSyntaxTree,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,comment,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,element,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,elementDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,empty,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,endAttlist,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,endConditional,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,endDTD,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,endGroup,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,ensureAttributeDeclCapacity,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,ensureElementDeclCapacity,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,ensureEntityDeclCapacity,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,ensureNotationDeclCapacity,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,externalEntityDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,getAttributeDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,getAttributeDeclIndex,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,getAttributeDeclIsExternal,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,getDTDSource,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,getElementDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,getElementDeclIndex,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,getElementDeclIsExternal,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,getElementDeclName,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,getEntityDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,getEntityDeclIndex,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,getFirstAttributeDeclIndex,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,getFirstElementDeclIndex,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,getGrammarDescription,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,getNextAttributeDeclIndex,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,getNextElementDeclIndex,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,getNotationDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,getNotationDeclIndex,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,getSymbolTable,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,ignoredCharacters,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,internalEntityDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,isCDATAAttribute,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,isEntityDeclared,0,0,0,0,0,0,0,1,0,0,0,0,0,0
56,isEntityUnparsed,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,isImmutable,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,isNamespaceAware,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,notationDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,occurrence,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,pcdata,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,printAttribute,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,printAttributes,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,printElements,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65,processingInstruction,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66,putElementNameMapping,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,resize,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,separator,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69,setAttributeDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70,setDTDSource,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71,setElementDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72,setEntityDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,setFirstAttributeDeclIndex,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74,setNotationDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75,startAttlist,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76,startConditional,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,startDTD,0,0,0,0,0,0,0,1,0,0,0,0,0,0
78,startGroup,0,0,0,0,0,0,0,1,0,0,0,0,0,0
79,textDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80,unparsedEntityDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81,createAttributeDecl,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,createChildModel,0,0,1,0,0,0,0,0,0,0,0,0,0,0
83,createContentSpec,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,createElementDecl,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85,createEntityDecl,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86,createNotationDecl,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,endExternalSubset,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,startExternalSubset,0,0,0,0,0,0,0,0,0,0,0,1,0,0
89,endParameterEntity,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,startParameterEntity,0,0,0,0,0,0,0,0,0,1,0,0,0,0
