,method_name,cache,content,create,encoding,error,global,identifier,none,object,parameter,standalone,subset,uri,user
0,addNotation,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,addUnparsedEntity,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,attributeDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,characters,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,checkAndSendNotation,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,checkAndSendUnparsedEntity,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,checkMultipleRootElements,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,checkNotation,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,checkUnparsedEntity,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,checkWhitespace,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,comment,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,copyFeatures,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,copyFeatures1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,doctypeDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,elementDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,emptyElement,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,endAttlist,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,endCDATA,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,endConditional,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,endDTD,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20,endDocument,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,endElement,0,0,0,0,0,0,0,1,0,0,0,0,0,0
22,endGeneralEntity,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,escapeHref,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,externalEntityDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,getDTDHandler,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,getDTDSource,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,getDocumentHandler,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,getDocumentSource,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29,getFeatureDefault,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,getIncludeParentDepth,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,getIncludeParentLanguage,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,getLanguage,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,getPropertyDefault,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,getRecognizedFeatures,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,getRecognizedProperties,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36,getResultDepth,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,getRootElementProcessed,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,getSawFallback,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,getSawInclude,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,getState,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,handleFallbackElement,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,handleIncludeElement,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,hasXIncludeNamespace,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44,ignorableWhitespace,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,ignoredCharacters,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46,internalEntityDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,isEqual,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,isFallbackElement,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,isIncludeElement,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50,isRootDocument,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,isTopLevelIncludedItem,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,isTopLevelIncludedItemViaFallback,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,isTopLevelIncludedItemViaInclude,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,isValidInHTTPHeader,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,modifyAugmentations,0,0,0,0,0,0,0,1,0,0,0,0,0,0
56,notationDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
57,processAttributes,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,processXMLBaseAttributes,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59,processXMLLangAttributes,0,0,0,0,0,0,0,1,0,0,0,0,0,0
60,processingInstruction,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,reset,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,restoreLanguage,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,sameLanguageAsIncludeParent,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64,saveLanguage,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65,scopeOfLanguage,0,0,0,0,0,0,0,1,0,0,0,0,0,0
66,searchForRecursiveIncludes,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,setDTDHandler,0,0,0,0,0,0,0,1,0,0,0,0,0,0
68,setDTDSource,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69,setDocumentHandler,0,0,0,0,0,0,0,1,0,0,0,0,0,0
70,setDocumentSource,0,0,0,0,0,0,0,1,0,0,0,0,0,0
71,setFeature,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72,setHref,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,setParent,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74,setProperty,0,0,0,0,0,0,0,1,0,0,0,0,0,0
75,setRootElementProcessed,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76,setSawFallback,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,setSawInclude,0,0,0,0,0,0,0,1,0,0,0,0,0,0
78,setState,0,0,0,0,0,0,0,1,0,0,0,0,0,0
79,setXIncludeLocator,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80,startAttlist,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81,startCDATA,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,startConditional,0,0,0,0,0,0,0,1,0,0,0,0,0,0
83,startDTD,0,0,0,0,0,0,0,1,0,0,0,0,0,0
84,startDocument,0,0,0,0,0,0,0,1,0,0,0,0,0,0
85,startElement,0,0,0,0,0,0,0,1,0,0,0,0,0,0
86,startGeneralEntity,0,0,0,0,0,0,0,1,0,0,0,0,0,0
87,textDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
88,unparsedEntityDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,xmlDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90,createInputSource,0,0,1,0,0,0,0,0,0,0,0,0,0,0
91,endExternalSubset,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,startExternalSubset,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,endParameterEntity,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,startParameterEntity,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,getBaseURI,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,getIncludeParentBaseURI,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,getRelativeBaseURI,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,getRelativeURI,0,0,0,0,0,0,0,0,0,0,0,0,1,0
99,restoreBaseURI,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,sameBaseURIAsIncludeParent,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,saveBaseURI,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,scopeOfBaseURI,0,0,0,0,0,0,0,0,0,0,0,0,1,0
103,setupCurrentBaseURI,0,0,0,0,0,0,0,0,0,0,0,0,1,0
104,reportError,0,0,0,0,1,0,0,0,0,0,0,0,0,0
105,reportFatalError,0,0,0,0,1,0,0,0,0,0,0,0,0,0
106,reportResourceError,0,0,0,0,1,0,0,0,0,0,0,0,0,0
107,setErrorReporter,0,0,0,0,1,0,0,0,0,0,0,0,0,0
