,method_name,cache,content,create,encoding,error,global,identifier,none,object,parameter,standalone,subset,uri,user
0,addGlobalAttributeDecl,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,addGlobalAttributeDecls,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,addGlobalAttributeGroupDecl,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,addGlobalAttributeGroupDecls,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,addGlobalComponent,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,addGlobalComponents,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,addGlobalElementDecl,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,addGlobalElementDecls,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,addGlobalGroupDecl,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,addGlobalGroupDecls,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,addGlobalNotationDecl,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,addGlobalNotationDecls,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,addGlobalTypeDecl,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,addGlobalTypeDecls,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,buildGlobalNameRegistries,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,getGlobalAttributeDecl,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,getGlobalAttributeGroupDecl,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,getGlobalDecl,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,getGlobalDeclFromGrammar,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,getGlobalElementDecl,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,getGlobalGroupDecl,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,getGlobalNotationDecl,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,getGlobalTypeDecl,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,traverseGlobalDecl,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,addGrammarComponents,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25,addGrammars,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26,addIDConstraintDecl,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,addImportList,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28,addNamespaceDependency,0,0,0,0,0,0,0,1,0,0,0,0,0,0
