,method_name,CHUNK_MASK,CHUNK_SHIFT,CHUNK_SIZE,DEBUG,LIST_FLAG,LIST_MASK,addContentSpecNode,addContentSpecToElement,addUniqueLeafNode,appendContentSpec,buildSyntaxTree,contentSpecTree,createAttributeDecl,createChildModel,createContentSpec,createElementDecl,createEntityDecl,createNotationDecl,ensureAttributeDeclCapacity,ensureContentSpecCapacity,ensureElementDeclCapacity,ensureEntityDeclCapacity,ensureNotationDeclCapacity,fAttributeDecl,fAttributeDeclCount,fAttributeDeclDatatypeValidator,fAttributeDeclDefaultType,fAttributeDeclDefaultValue,fAttributeDeclEnumeration,fAttributeDeclIsExternal,fAttributeDeclName,fAttributeDeclNextAttributeDeclIndex,fAttributeDeclNonNormalizedDefaultValue,fAttributeDeclType,fContentSpec,fContentSpecCount,fContentSpecOtherValue,fContentSpecType,fContentSpecValue,fCurrentAttributeIndex,fCurrentElementIndex,fDTDContentModelSource,fDTDSource,fDepth,fElementDecl,fElementDeclContentModelValidator,fElementDeclContentSpecIndex,fElementDeclCount,fElementDeclFirstAttributeDeclIndex,fElementDeclIsExternal,fElementDeclLastAttributeDeclIndex,fElementDeclName,fElementDeclTab,fElementDeclType,fEntityBaseSystemId,fEntityCount,fEntityInExternal,fEntityIsPE,fEntityName,fEntityNotation,fEntityPublicId,fEntitySystemId,fEntityValue,fGrammarDescription,fIsImmutable,fLeafCount,fMixed,fNodeIndexStack,fNotationBaseSystemId,fNotationCount,fNotationName,fNotationPublicId,fNotationSystemId,fOpStack,fPEDepth,fPEntityStack,fPrevNodeIndexStack,fQName,fQName2,fReadingExternalDTD,fSimpleType,fSymbolTable,getAttributeDecl,getAttributeDeclIndex,getContentSpec,getElementContentModelValidator,getElementDecl,getElementDeclIndex,getEntityDeclIndex,getFirstAttributeDeclIndex,getNextAttributeDeclIndex,getNotationDeclIndex,initializeContentModelStack,nodeIndex,printAttribute,resize,setAttributeDecl,setContentSpec,setContentSpecIndex,setElementDecl,setEntityDecl,setNotationDecl
0,getGrammarDescription,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,getElementDeclIsExternal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,getAttributeDeclIsExternal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,getAttributeDeclIndex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4,startDTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,startParameterEntity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,startExternalSubset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,endParameterEntity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,endExternalSubset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,elementDecl,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
